sektor,tahun,bulan,jumlah
"Pengadaan Air, Pengelolaan Sampah dan Daur Ulang, Pembuangan dan Pembersihan Limbah dan Sampah",2014,Agustus,223324
"Pengadaan Air, Pengelolaan Sampah dan Daur Ulang, Pembuangan dan Pembersihan Limbah dan Sampah",2015,Februari,289571
"Pengadaan Air, Pengelolaan Sampah dan Daur Ulang, Pembuangan dan Pembersihan Limbah dan Sampah",2015,Agustus,267449
"Pengadaan Air, Pengelolaan Sampah dan Daur Ulang, Pembuangan dan Pembersihan Limbah dan Sampah",2016,Februari,345471
"Pengadaan Air, Pengelolaan Sampah dan Daur Ulang, Pembuangan dan Pembersihan Limbah dan Sampah",2016,Agustus,241758
"Pengadaan Air, Pengelolaan Sampah dan Daur Ulang, Pembuangan dan Pembersihan Limbah dan Sampah",2017,Februari,362241
"Pengadaan Air, Pengelolaan Sampah dan Daur Ulang, Pembuangan dan Pembersihan Limbah dan Sampah",2017,Agustus,414627
"Pengadaan Air, Pengelolaan Sampah dan Daur Ulang, Pembuangan dan Pembersihan Limbah dan Sampah",2018,Februari,445929
"Pengadaan Air, Pengelolaan Sampah dan Daur Ulang, Pembuangan dan Pembersihan Limbah dan Sampah",2018,Agustus,479422
"Pengadaan Air, Pengelolaan Sampah dan Daur Ulang, Pembuangan dan Pembersihan Limbah dan Sampah",2019,Februari,418510
"Pengadaan Air, Pengelolaan Sampah dan Daur Ulang, Pembuangan dan Pembersihan Limbah dan Sampah",2019,Agustus,502283
"Pengadaan Air, Pengelolaan Sampah dan Daur Ulang, Pembuangan dan Pembersihan Limbah dan Sampah",2020,Februari,463359
"Pengadaan Air, Pengelolaan Sampah dan Daur Ulang, Pembuangan dan Pembersihan Limbah dan Sampah",2020,Agustus,490984
"Pengadaan Air, Pengelolaan Sampah dan Daur Ulang, Pembuangan dan Pembersihan Limbah dan Sampah",2021,Februari,498535
"Pengadaan Air, Pengelolaan Sampah dan Daur Ulang, Pembuangan dan Pembersihan Limbah dan Sampah",2021,Agustus,562726
"Pengadaan Air, Pengelolaan Sampah dan Daur Ulang, Pembuangan dan Pembersihan Limbah dan Sampah",2022,Februari,534247
"Pengadaan Air, Pengelolaan Sampah dan Daur Ulang, Pembuangan dan Pembersihan Limbah dan Sampah",2022,Agustus,511150
"Pengadaan Air, Pengelolaan Sampah dan Daur Ulang, Pembuangan dan Pembersihan Limbah dan Sampah",2023,Februari,568604
"Pengadaan Air, Pengelolaan Sampah dan Daur Ulang, Pembuangan dan Pembersihan Limbah dan Sampah",2023,Agustus,493076
"Pengadaan Air, Pengelolaan Sampah dan Daur Ulang, Pembuangan dan Pembersihan Limbah dan Sampah",2024,Februari,575441
"Pengadaan Air, Pengelolaan Sampah dan Daur Ulang, Pembuangan dan Pembersihan Limbah dan Sampah",2024,Agustus,556713
Konstruksi,2011,Februari,5645120
Konstruksi,2011,Agustus,6263797
Konstruksi,2012,Februari,6148016
Konstruksi,2012,Agustus,6851291
Konstruksi,2013,Februari,6952928
Konstruksi,2013,Agustus,6349387
Konstruksi,2014,Februari,7211967
Konstruksi,2014,Agustus,7280086
Konstruksi,2015,Februari,7714384
Konstruksi,2015,Agustus,8208086
Konstruksi,2016,Februari,7707297
Konstruksi,2016,Agustus,7978567
Konstruksi,2017,Februari,7162968
Konstruksi,2017,Agustus,8136636
Konstruksi,2018,Februari,7196235
Konstruksi,2018,Agustus,8457293
Konstruksi,2019,Februari,7763292
Konstruksi,2019,Agustus,8675449
Konstruksi,2020,Februari,8116426
Konstruksi,2020,Agustus,8066497
Konstruksi,2021,Februari,7929651
Konstruksi,2021,Agustus,8293769
Konstruksi,2022,Februari,8188425
Konstruksi,2022,Agustus,8481349
Konstruksi,2023,Februari,8605748
Konstruksi,2023,Agustus,9251821
Konstruksi,2024,Februari,8645266
Konstruksi,2024,Agustus,9470763
Perdagangan Besar Dan Eceran; Reparasi dan Perawatan Mobil dan Sepeda Motor,2011,Februari,19685724
Perdagangan Besar Dan Eceran; Reparasi dan Perawatan Mobil dan Sepeda Motor,2011,Agustus,19448043
Perdagangan Besar Dan Eceran; Reparasi dan Perawatan Mobil dan Sepeda Motor,2012,Februari,21014463
